Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /8.33,Q. 2 /8.33,Q. 3 /8.33,Q. 4 /8.33,Q. 5 /8.33,Q. 6 /8.33,Q. 7 /8.33,Q. 8 /8.33,Q. 9 /8.33,Q. 10 /8.33,Q. 11 /8.33,Q. 12 /8.33
2679,Finished,12 November 2020  2:16 PM,12 November 2020  2:43 PM,26 mins 30 secs,17.36,-2.08,-2.08,8.33,8.33,-2.08,8.33,-2.08,8.33,-2.08,-2.08,-2.08,-1.39
2666,Finished,12 November 2020  2:16 PM,12 November 2020  2:42 PM,26 mins 2 secs,17.36,-2.08,-2.08,8.33,8.33,8.33,-2.08,-2.08,-2.08,8.33,-2.08,-2.08,-1.39
2913,Finished,12 November 2020  2:17 PM,12 November 2020  2:26 PM,9 mins 44 secs,27.78,-2.08,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08,-2.08,-2.08,8.33,-1.39
1208,Finished,12 November 2020  2:18 PM,12 November 2020  2:39 PM,21 mins 14 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
696,Finished,12 November 2020  2:18 PM,12 November 2020  2:32 PM,14 mins 17 secs,27.78,-2.08,8.33,8.33,-2.08,8.33,-2.08,8.33,-2.08,8.33,-2.08,-2.08,-1.39
1233,Finished,12 November 2020  2:18 PM,12 November 2020  2:56 PM,37 mins 59 secs,59.03,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
978,Finished,12 November 2020  2:18 PM,12 November 2020  2:58 PM,40 mins 2 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
203,Finished,12 November 2020  2:18 PM,12 November 2020  2:58 PM,39 mins 39 secs,59.03,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
1480,Finished,12 November 2020  2:19 PM,12 November 2020  2:55 PM,36 mins 21 secs,69.44,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33,-1.39
1786,Finished,12 November 2020  2:19 PM,12 November 2020  2:41 PM,22 mins 14 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,-1.39
1336,Finished,12 November 2020  2:19 PM,12 November 2020  2:43 PM,23 mins 43 secs,69.44,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
2675,Finished,12 November 2020  2:19 PM,12 November 2020  2:31 PM,12 mins 30 secs,59.03,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-1.39
937,Finished,12 November 2020  2:19 PM,12 November 2020  2:51 PM,31 mins 11 secs,17.36,-2.08,-2.08,8.33,8.33,8.33,-2.08,-2.08,8.33,-2.08,-2.08,-2.08,-1.39
1682,Finished,12 November 2020  2:19 PM,12 November 2020  2:52 PM,32 mins 13 secs,48.61,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,-2.08,-2.08,-1.39
946,Finished,12 November 2020  2:20 PM,12 November 2020  2:41 PM,21 mins 17 secs,69.44,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,-1.39
1762,Finished,12 November 2020  2:20 PM,12 November 2020  3:00 PM,40 mins 3 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
1079,Finished,12 November 2020  2:21 PM,12 November 2020  2:59 PM,37 mins 57 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
911,Finished,12 November 2020  2:21 PM,12 November 2020  2:38 PM,16 mins 35 secs,59.03,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,8.33,-1.39
2660,Finished,12 November 2020  2:21 PM,12 November 2020  3:01 PM,39 mins 59 secs,69.44,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2677,Finished,12 November 2020  2:21 PM,12 November 2020  2:59 PM,37 mins 12 secs,27.78,-2.08,-2.08,8.33,8.33,-2.08,8.33,-2.08,8.33,8.33,-2.08,-2.08,-1.39
2659,Finished,12 November 2020  2:21 PM,12 November 2020  3:01 PM,39 mins 59 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2914,Finished,12 November 2020  2:22 PM,12 November 2020  2:45 PM,22 mins 55 secs,48.61,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08,-2.08,8.33,-1.39
1814,Finished,12 November 2020  2:22 PM,12 November 2020  2:46 PM,24 mins 7 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
535,Finished,12 November 2020  2:22 PM,12 November 2020  2:48 PM,25 mins 46 secs,48.61,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08,-1.39
1379,Finished,12 November 2020  2:22 PM,12 November 2020  2:49 PM,26 mins 41 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2687,Finished,12 November 2020  2:22 PM,12 November 2020  2:35 PM,12 mins 51 secs,27.78,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08,-2.08,-1.39
2447,Finished,12 November 2020  2:23 PM,12 November 2020  2:55 PM,32 mins 5 secs,69.44,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,-1.39
580,Finished,12 November 2020  2:23 PM,12 November 2020  2:44 PM,21 mins 3 secs,48.61,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,-1.39
75,Finished,12 November 2020  2:23 PM,12 November 2020  2:50 PM,27 mins 20 secs,59.03,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2684,Finished,12 November 2020  2:23 PM,12 November 2020  2:51 PM,27 mins 41 secs,90.28,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-1.39
1207,Finished,12 November 2020  2:23 PM,12 November 2020  2:40 PM,16 mins 51 secs,59.03,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,-1.39
2696,Finished,12 November 2020  2:24 PM,12 November 2020  2:26 PM,2 mins 20 secs,17.36,-2.08,8.33,8.33,8.33,-2.08,-2.08,8.33,-2.08,-2.08,-2.08,-2.08,-1.39
2689,Finished,12 November 2020  2:25 PM,12 November 2020  2:46 PM,21 mins 6 secs,48.61,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,-1.39
1822,Finished,12 November 2020  2:25 PM,12 November 2020  2:57 PM,31 mins 55 secs,69.44,8.33,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2683,Finished,12 November 2020  2:25 PM,12 November 2020  2:53 PM,28 mins 24 secs,69.44,8.33,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
847,Finished,12 November 2020  2:25 PM,12 November 2020  2:54 PM,29 mins 15 secs,59.03,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,-1.39
2682,Finished,12 November 2020  2:26 PM,12 November 2020  3:00 PM,34 mins 34 secs,59.03,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,8.33,8.33,-2.08,8.33,-1.39
1436,Finished,12 November 2020  2:27 PM,12 November 2020  2:55 PM,28 mins,59.03,-2.08,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
569,Finished,12 November 2020  2:27 PM,12 November 2020  2:54 PM,26 mins 40 secs,59.03,8.33,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33,-1.39
1428,Finished,12 November 2020  2:27 PM,12 November 2020  2:42 PM,14 mins 46 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2690,Finished,12 November 2020  2:27 PM,12 November 2020  2:47 PM,19 mins 15 secs,69.44,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
722,Finished,12 November 2020  2:28 PM,12 November 2020  3:08 PM,39 mins 49 secs,69.44,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2685,Finished,12 November 2020  2:29 PM,12 November 2020  3:03 PM,34 mins 15 secs,59.03,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
1222,Finished,12 November 2020  2:29 PM,12 November 2020  2:57 PM,27 mins 13 secs,59.03,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08,-1.39
1199,Finished,12 November 2020  2:30 PM,12 November 2020  3:09 PM,39 mins 10 secs,38.19,-2.08,-2.08,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,-2.08,-2.08,-1.39
2691,Finished,12 November 2020  2:31 PM,12 November 2020  2:50 PM,19 mins 22 secs,68.75,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33
2698,Finished,12 November 2020  2:31 PM,12 November 2020  2:33 PM,1 min 54 secs,27.78,-2.08,8.33,8.33,8.33,-2.08,-2.08,8.33,-2.08,-2.08,8.33,-2.08,-1.39
2692,Finished,12 November 2020  2:33 PM,12 November 2020  2:59 PM,26 mins 11 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
979,Finished,12 November 2020  2:33 PM,12 November 2020  2:43 PM,9 mins 57 secs,69.44,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,8.33,-1.39
2681,Finished,12 November 2020  2:34 PM,12 November 2020  2:58 PM,24 mins 38 secs,48.61,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,-2.08,-2.08,-1.39
2637,Finished,12 November 2020  2:34 PM,12 November 2020  2:59 PM,25 mins 3 secs,89.58,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33
2915,Finished,12 November 2020  2:34 PM,12 November 2020  2:48 PM,13 mins 41 secs,38.19,-2.08,-2.08,8.33,8.33,-2.08,-2.08,8.33,8.33,-2.08,8.33,8.33,-1.39
2710,Finished,12 November 2020  2:35 PM,12 November 2020  2:46 PM,10 mins 34 secs,48.61,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
2693,Finished,12 November 2020  2:35 PM,12 November 2020  3:09 PM,33 mins 56 secs,69.44,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2688,Finished,12 November 2020  2:36 PM,12 November 2020  3:14 PM,37 mins 44 secs,69.44,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,8.33,-1.39
856,Finished,12 November 2020  2:36 PM,12 November 2020  3:03 PM,27 mins 29 secs,27.78,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08,-2.08,-1.39
