Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
50,Finished,11 November 2020  12:43 PM,11 November 2020  1:15 PM,31 mins 6 secs,0.0,-,-,-,-,-,-,-,-
92,Finished,11 November 2020  12:44 PM,11 November 2020  1:05 PM,20 mins 51 secs,53.13,12.50,-3.13,0.00,12.50,6.25,12.50,12.50,0.00
93,Finished,11 November 2020  12:44 PM,11 November 2020  1:14 PM,29 mins 21 secs,59.38,6.25,-3.13,12.50,12.50,6.25,12.50,12.50,0.00
94,Finished,11 November 2020  12:45 PM,11 November 2020  12:57 PM,12 mins 28 secs,81.25,6.25,12.50,12.50,12.50,12.50,12.50,12.50,0.00
95,Finished,11 November 2020  12:46 PM,11 November 2020  1:06 PM,19 mins 6 secs,59.38,6.25,-3.13,6.25,12.50,12.50,12.50,12.50,0.00
55,Finished,11 November 2020  12:47 PM,11 November 2020  12:57 PM,9 mins 21 secs,46.88,0.00,-3.13,12.50,12.50,0.00,12.50,12.50,0.00
96,Finished,11 November 2020  12:49 PM,11 November 2020  1:19 PM,30 mins 1 sec,71.88,3.13,12.50,6.25,12.50,12.50,12.50,12.50,-
97,Finished,11 November 2020  12:49 PM,11 November 2020  12:59 PM,9 mins 46 secs,40.63,0.00,-3.13,0.00,12.50,6.25,12.50,12.50,0.00
49,Finished,11 November 2020  12:49 PM,11 November 2020  12:56 PM,7 mins 14 secs,75.0,0.00,12.50,12.50,12.50,12.50,12.50,12.50,0.00
98,Finished,11 November 2020  12:49 PM,11 November 2020  1:03 PM,13 mins 40 secs,18.75,0.00,-3.13,9.37,12.50,6.25,-3.13,-3.13,0.00
80,Finished,11 November 2020  12:49 PM,11 November 2020  1:21 PM,31 mins 18 secs,12.5,-,-,12.50,-,-,-,-,-
77,Finished,11 November 2020  12:50 PM,11 November 2020  1:22 PM,31 mins 53 secs,0.0,-,-,-,-,-,-,-,-
99,Finished,11 November 2020  12:50 PM,11 November 2020  1:00 PM,10 mins 8 secs,54.17,0.00,12.50,4.17,12.50,0.00,12.50,12.50,0.00
100,Finished,11 November 2020  12:50 PM,11 November 2020  12:59 PM,9 mins 16 secs,35.42,6.25,-3.13,4.17,12.50,6.25,12.50,-3.13,0.00
30,Finished,11 November 2020  12:50 PM,11 November 2020  12:56 PM,5 mins 30 secs,78.13,6.25,-3.13,12.50,12.50,12.50,12.50,12.50,12.50
